                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8645,                 4.0987,                  4.114,                 1.5386,                0.00667,                   0.05,                0.01153,                0.00447,                0.01833,                 0.1375,                0.01851,                0.00825,                 2.6739,                 3.6151,                 4.2862,                  1.571,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.5534,                 3.4105,                 3.2182,                 1.4577,                0.65329,                  0.024,                0.02556,                 0.0089,                 0.3742,                  0.025,                0.02494,                0.00922,                 2.8609,                 4.0686,                 4.0358,                 1.7998,               0.090089,              0.0010891,              0.0010891
                      2,                 2.4075,                 3.2864,                 2.2067,                 1.3327,                0.59362,                0.23737,                0.24016,                0.07919,                0.46797,                 0.1875,                0.17888,                 0.0618,                 2.2571,                 3.4252,                  2.469,                 1.3858,               0.084666,              0.0016663,              0.0016663
                      3,                 2.2674,                 3.3298,                 1.6728,                 1.2221,                0.48733,                   0.55,                0.46392,                0.17278,                0.30083,                    0.4,                0.21937,                0.07678,                 1.9966,                 2.8128,                 1.5646,                 1.2223,               0.079232,              0.0022317,              0.0022317
                      4,                 2.2325,                 3.0768,                 1.5066,                  1.188,                0.59101,                0.61416,                0.56687,                0.21679,                  0.459,                0.47727,                0.34628,                0.09887,                 1.9415,                 2.7409,                 1.2996,                 1.1855,               0.073785,              0.0027852,              0.0027852
                      5,                 2.1667,                 2.8718,                 1.6978,                 1.1313,                0.08833,                 0.6625,                 0.2624,                0.10866,                0.08167,                 0.6125,                0.23356,                0.09377,                 1.9338,                 2.6841,                 2.4365,                 1.0847,               0.068327,              0.0033267,              0.0033267
                      6,                  1.866,                 2.6292,                 2.2094,                 1.0871,                0.66475,                 0.5375,                0.56769,                0.24187,                0.46115,                  0.325,                0.35799,                0.12392,                 1.9895,                 2.7596,                 1.2173,                 1.1393,               0.062856,              0.0038565,              0.0038565
                      7,                 2.1358,                 2.7536,                 1.9277,                 1.1272,                0.66475,                 0.5375,                0.56769,                0.24187,                0.46115,                  0.325,                0.35799,                0.12392,                 1.9895,                 2.7596,                 1.2173,                 1.1393,               0.057374,              0.0043743,              0.0043743
                      8,                 1.9654,                 2.5022,                 1.8209,                 1.0758,                0.56648,                  0.425,                 0.3679,                0.14185,                0.45809,                 0.3375,                 0.2566,                0.08458,                 2.1548,                 2.8377,                 1.7998,                 1.1336,                0.05188,              0.0048802,              0.0048802
                      9,                 1.9959,                 2.5882,                 1.9716,                 1.0438,                  0.647,                 0.5625,                0.58827,                0.26425,                0.54987,                  0.525,                0.50593,                0.19579,                  1.889,                 2.7094,                 2.1873,                 1.1221,               0.046374,              0.0053743,              0.0053743
                     10,                 2.0497,                 2.7383,                 1.8354,                 1.0669,                  0.647,                 0.5625,                0.58827,                0.26425,                0.54987,                  0.525,                0.50593,                0.19579,                  1.889,                 2.7094,                 2.1873,                 1.1221,               0.040857,              0.0058565,              0.0058565
                     11,                 1.9936,                 2.7691,                 1.7745,                 1.0808,                0.62513,                 0.3125,                0.47519,                0.14634,                0.61091,                    0.3,                0.37146,                0.11255,                 2.3822,                 2.7718,                 2.0042,                 1.2384,               0.035327,              0.0063268,              0.0063268
                     12,                  1.979,                 2.4833,                 1.8667,                 1.0676,                0.62513,                 0.3125,                0.47519,                0.14634,                0.61091,                    0.3,                0.37146,                0.11255,                 2.3822,                 2.7718,                 2.0042,                 1.2384,               0.029785,              0.0067852,              0.0067852
                     13,                 1.7861,                 2.4542,                 1.9568,                 1.0055,                0.62513,                 0.3125,                0.47519,                0.14634,                0.61091,                    0.3,                0.37146,                0.11255,                 2.3822,                 2.7718,                 2.0042,                 1.2384,               0.024232,              0.0072318,              0.0072318
                     14,                 1.9651,                  2.694,                 1.4923,                 1.0787,                0.63669,                    0.5,                0.56934,                0.23614,                0.57139,                   0.45,                0.46411,                0.12425,                 2.0883,                 2.6605,                 1.2729,                 1.2415,               0.018666,              0.0076665,              0.0076665
                     15,                 1.8212,                 2.7717,                 1.3103,                 1.0401,                0.63669,                    0.5,                0.56934,                0.23614,                0.57139,                   0.45,                0.46411,                0.12425,                 2.0883,                 2.6605,                 1.2729,                 1.2415,               0.013089,              0.0080892,              0.0080892
                     16,                 2.0027,                 2.6579,                 1.5178,                 1.0081,                 0.5654,                 0.3125,                0.36139,                0.11079,                0.45232,                   0.25,                0.28214,                0.08455,                 2.5913,                 3.0817,                 1.7362,                 1.3358,               0.008416,               0.008416,               0.008416
                     17,                 2.0638,                 2.8179,                 1.8741,                 1.0542,                 0.5654,                 0.3125,                0.36139,                0.11079,                0.45232,                   0.25,                0.28214,                0.08455,                 2.5913,                 3.0817,                 1.7362,                 1.3358,               0.008416,               0.008416,               0.008416
                     18,                 2.0413,                 2.7163,                 1.8434,                  1.058,                 0.5654,                 0.3125,                0.36139,                0.11079,                0.45232,                   0.25,                0.28214,                0.08455,                 2.5913,                 3.0817,                 1.7362,                 1.3358,               0.008317,               0.008317,               0.008317
                     19,                 2.0676,                  2.714,                 2.1331,                 1.1066,                0.57478,                 0.4875,                0.49047,                 0.2049,                0.47731,                 0.3875,                 0.4208,                0.17088,                 2.0397,                 2.6446,                 1.5211,                 1.2321,               0.008218,               0.008218,               0.008218
                     20,                 1.7774,                 2.5332,                 1.2851,                 1.0013,                0.57478,                 0.4875,                0.49047,                 0.2049,                0.47731,                 0.3875,                 0.4208,                0.17088,                 2.0397,                 2.6446,                 1.5211,                 1.2321,               0.008119,               0.008119,               0.008119
                     21,                 1.7452,                 2.4495,                   1.22,                 1.0052,                0.57478,                 0.4875,                0.49047,                 0.2049,                0.47731,                 0.3875,                 0.4208,                0.17088,                 2.0397,                 2.6446,                 1.5211,                 1.2321,                0.00802,                0.00802,                0.00802
                     22,                 2.0506,                 2.4513,                   1.32,                 1.0637,                 0.6687,                 0.4875,                0.50064,                0.17381,                0.53033,                 0.2625,                  0.307,                0.10515,                 2.3612,                  2.875,                 1.4975,                 1.3761,               0.007921,               0.007921,               0.007921
